 ,       1,       2,       3,       4,       5,       6,       7,       8,       9,      10,      11,      12,      13,      14,      15,      16,      17,      18,      19,      20,      21,      22,      23,      24,      25,      26,      27,      28,      29,      30,      31,      32,      33,      34,      35,      36,      37,      38,      39,      40,      41,      42,      43,      44,      45,      46,      47,      48
P,   87959,   89752,   88286,   79504,   77881,   93578,   77756,   74450,   75038,   90254,   82959,   70039,   86833,   76128,   75160,   83092,   82202,   81293,   85304,   41571,   80906,   79071,   73444,   83205,   77590,   39326,   69567,   80128,   83279,   77356,   61886,   78303,   78371,   80185,   89785,   72141,   84457,   80593,   81182,   80287,   76550,   77595,   88225,   73548,   82677,   88742,     285,      60
Q,   81649,   84596,   89728,   77386,   73764,   49517,   75477,   90123,   79511,   84443,   88347,   85371,   83838,   87945,   59914,   86588,   69881,   72148,   56650,   73379,   53544,   76085,   54269,   77444,   74533,   75410,    1770,   76269,   71045,   88163,   61769,   66115,   59357,   86619,   89059,   89660,   73778,   92068,   82100,   73042,   81877,   80502,   84566,   89471,   92660,   91115,     222,      23
R,   88871,   87050,   89806,   79258,   76678,   75512,   58487,   92202,   72615,   83064,   65593,   81746,   86079,   74831,   63027,   85214,   78562,   84988,   63662,   82582,   47994,   87793,   45595,   72215,   69888,   86117,   56356,   79724,   78534,   50296,   76774,   74709,   87768,   81892,   88487,   76245,   84581,    5767,   83286,   87172,   80043,   83355,   63968,   72091,   95275,   95570,     307,      21
S,  100991,   99869,   89261,   95695,   90930,   73922,   82352,   82100,   82729,   62819,   70737,   69097,   69037,   82903,   74071,   69908,   72160,   77201,   71042,   88120,   85403,   80412,   79859,   66598,   87312,   71027,   57702,   65996,   75272,   78994,   86062,   79988,   49312,   81628,   72228,   95408,   60843,    1819,   87299,   90485,   86846,   80149,   85946,   90093,   92113,   85417,     163,      73
T,   87852,   97292,   83284,   97518,   84132,   69191,   65158,   40537,   79657,   86464,   70136,   83634,   84800,     775,   73209,   79410,   77344,   86836,   75614,   79736,   78790,   93056,   80837,   84580,   83173,   85288,   82389,   86796,   83073,   82999,   88332,   90035,   88691,   90879,   68787,   86640,   85719,   88556,   90096,   95512,   90295,   82697,   95983,   86861,   83846,   89122,     210,      54
U,   89712,   84551,   80730,   79538,   34509,   56108,   80581,   64410,   75301,   76463,   70658,   77406,   73322,   82888,   72706,   77844,   82520,   64863,   42114,   85546,   59341,   83614,   76648,   78757,   73997,   66974,   81018,   83223,   81251,   57588,   45376,   80870,   87594,   81244,   76358,   77578,   74466,   87487,   81306,   89357,   93623,   48595,   81203,   73000,   97223,   95297,     296,      10
V,   87859,   87716,   84067,   82943,   42923,   77044,   77830,   58415,   73530,   47987,   65143,   69465,   54122,   61121,   59974,   63341,   77904,   72645,     740,   83351,   74329,   41279,   45134,   74229,   83243,   83853,   85216,   68791,   88050,   63613,   91778,   72477,   76203,   90372,   82332,   68318,   78336,   79301,   86470,   87180,   77371,   90574,   22656,   86032,   89210,   86596,     176,      51
W,   88357,   85159,   88439,   87833,   86948,   82168,   69613,   85146,   81757,   86910,   74408,   83610,   87512,   84856,   81312,   82311,   74375,   75448,   79743,   80548,   80316,   83080,   88990,   53075,   77214,   81696,   84448,   44132,   71313,   86224,   75662,   80689,   80213,     783,   69639,   50521,   83125,   82616,   86927,   83673,   85080,   64341,   79562,   52038,   97764,   94887,     281,      33
X,   91802,   90910,   89660,   96545,   84680,   56127,   69177,   81420,   84702,   83360,   80078,   83425,   85723,   87040,   56208,   61015,   80489,   83227,   68930,   69788,   84127,   78422,   78416,   68607,   81832,   82258,   91890,   57952,   80294,   73656,   62885,   67429,   83403,   83807,   78885,   70966,   89694,   82745,   90059,   89168,   91387,   86077,   90876,   87815,   93218,   95999,     261,      53
Y,   86825,   84899,   82533,   85397,   84032,   67761,   79487,   72976,   78635,   83615,   80862,   56743,   46612,   61261,   77217,   77137,   80720,   37348,   59642,   80632,   60863,   81287,   71184,   75116,   80519,   67519,   75372,   50508,   67496,   59417,   70082,   81200,   82326,   79550,   85914,   84028,   84774,   76837,   82273,   88273,   75331,   89224,   75696,   79645,   89742,   83288,     167,      35
Z,   95583,   94145,   88699,   88580,   83406,   81733,   46788,   90813,   31496,   71206,   64135,   59256,   64814,   57781,   79273,    8658,   75903,   62644,   56253,   80399,   83500,   77672,   64220,   76688,   77643,   72239,   81115,   67443,   83594,   83715,   75552,   49318,   81538,   83705,   56171,   81428,   83886,   60968,   78749,   74315,   87184,   88140,   88156,   86061,   88273,   85079,     301,      29
a,   87924,   88095,   91124,   91169,   77121,   75265,   76868,   78769,   55566,   78720,   84198,   70389,   80696,   82102,   71980,   70549,   56770,   80733,   84698,   70978,   81661,   53163,   83173,   62894,   67367,   74567,   81908,   76087,   70336,   71696,   65181,   70523,   25955,   63076,   15670,   83794,   65828,   69500,   82955,   54530,   40729,   82220,   89710,   94542,   88745,   86889,     260,      62
b,   83645,   86296,   86983,   82123,   82722,   42217,   69084,   77290,   82099,   77521,   67315,   79890,   67404,   80749,   64425,   74055,   76241,   52864,   52773,   55159,   79501,   81599,   38221,   82431,   65721,   73715,   58560,   51145,   43189,   77330,   78806,   87774,   80947,   86448,   68320,   78324,   83628,   84776,   82363,   83597,   83858,   83604,    4156,   94522,   87516,   93911,     209,      23
c,   85670,   92138,   88498,   87993,   82160,   84642,   82967,   63345,   77294,   80587,   75809,   71497,   49234,   60228,   60659,   82969,   84526,   52657,   81814,   65891,   45976,   77480,   82414,   75590,   83360,   71168,   83294,   45894,   85255,   80706,   80258,   45499,   71543,   91486,   86345,   80640,   74557,   72691,   90269,   87145,   74275,   85279,   77208,   80091,   84502,   96398,     234,      40
d,   91131,   87429,   90222,   89802,   78483,   61203,   72600,   69042,   65765,   83032,   72206,   86801,   42331,   75528,   74017,   81605,   73462,   85159,   69922,   91153,   39275,   87083,   58097,   81601,   72058,   33249,   78317,   81918,   59896,   65141,   73799,   87266,   72600,   47460,   50319,   87146,   67896,   72152,   87903,   86666,   81215,   82759,   84060,   83758,   84193,   76276,      99,      20
e,   93129,   89898,   93207,   85358,   90452,   83415,   87659,   81299,   84843,   86350,   81141,   85318,   86096,   85119,   85050,   78611,   87296,   81514,   76291,   86251,   80995,   74312,   81277,   82278,   75508,   81279,   74851,   84687,   81753,   91060,   77575,   85715,   89582,   83554,   83880,   72868,   77082,   79096,   76642,   76221,   82499,   80677,   78075,   78517,   81788,   75828,     186,      17
f,   72017,   71674,   82442,   77344,   71394,   72809,   73232,   77160,   85603,   70020,   68984,   72327,   73434,   71388,   74920,   78634,   73497,   75939,   74355,   77940,   73678,   73111,   74060,   78886,   72629,   68452,   75619,   74419,   77623,   74381,   81115,   64707,   82533,   73820,   76550,   81685,   75704,   75882,   81535,   75996,   76256,   78058,   74370,   79302,   73783,   62328,     144,      26

