 ,       1,       2,       3,       4,       5,       6,       7,       8,       9,      10,      11,      12,      13,      14,      15,      16,      17,      18,      19,      20,      21,      22,      23,      24,      25,      26,      27,      28,      29,      30,      31,      32,      33,      34,      35,      36,      37,      38,      39,      40,      41,      42,      43,      44,      45,      46,      47,      48
P,   93601,   85359,   88360,   86782,   81287,   82427,   82117,   68058,   89605,   78740,   75415,   68686,   82428,   66713,   72451,   69627,   83120,   80034,   58195,   39639,   77363,   68818,   67744,   72609,   73329,   37411,   63773,   84537,   79377,   81653,   62208,   79050,   74900,   79533,   85004,   66161,   80982,   77845,   79656,   75423,   88761,   83161,   79590,   89526,   92889,   81800,     226,      26
Q,   91734,   81280,   85078,   85130,   71844,   48201,   74672,   86375,   72041,   87751,   82902,   78216,   85116,   82743,   64256,   83045,   69721,   71179,   52601,   73208,   46533,   71829,   51961,   76466,   70255,   81379,    2505,   77846,   68974,   75056,   60537,   68489,   65638,   83065,   94316,   89622,   70894,   79842,   86151,   73565,   77651,   90726,   88001,   80149,   82327,   79034,     211,      23
R,   93909,   90381,   84038,   80682,   82005,   79452,   46837,   86748,   59144,   73146,   72272,   76921,   81557,   56719,   60823,   78209,   61024,   78648,   62648,   84879,   53381,   72153,   43665,   68593,   63824,   80352,   54777,   81156,   74823,   53634,   73416,   69843,   90955,   83949,   85756,   81422,   78008,    5931,   89012,   96974,   92881,   83064,   71506,   66862,   89667,   84639,     253,      81
S,   91780,   99014,   90067,   82627,   88210,   70845,   74733,   74927,   81191,   59339,   71651,   68212,   69230,   77992,   74641,   60932,   60081,   72552,   63704,   79562,   80968,   82790,   77793,   65090,   88246,   72414,   52423,   68570,   79254,   75815,   84376,   76331,   48766,   86664,   77700,   89509,   69308,    1906,   85012,   92973,   87883,   88230,   93258,   91403,   91867,   83696,     192,      30
T,   91663,   93233,   85930,   92458,   74111,   73292,   64196,   43031,   78328,   76054,   67136,   79011,   81298,     723,   72756,   73231,   78397,   62823,   73663,   81899,   86035,   85087,   80429,   82398,   88358,   87562,   80161,   78734,   89317,   87702,   82972,   90154,   84999,   90058,   67612,   90943,   84234,   85589,   85986,   86512,   90555,   90127,   86115,   94832,   95501,   86772,     274,      81
U,   89720,   85445,   89358,   80392,   39845,   53663,   72728,   63333,   70100,   78458,   76143,   70719,   73985,   75859,   73816,   75236,   83142,   69431,   37111,   75966,   50994,   79477,   76636,   80847,   79622,   63567,   82720,   82116,   85153,   55911,   38969,   80926,   75371,   78125,   82886,   73042,   78030,   88474,   75854,   80819,   82503,   49449,   87187,   69231,   90891,   85777,     245,      65
V,   94040,   91382,   90247,   83226,   48028,   81646,   73353,   62040,   76292,   49259,   62309,   75271,   57451,   62657,   60116,   70235,   81087,   70293,     873,   80229,   75023,   41191,   47741,   80215,   79076,   82719,   77875,   71543,   77347,   67255,   85724,   66135,   83668,   92761,   76058,   61650,   79102,   82924,   80598,   86134,   73533,   79071,   20268,   88358,   95022,   83632,     143,      45
W,   92177,   95907,   90002,   84296,   88806,   75677,   68406,   82559,   78946,   88738,   80298,   86456,   88532,   83215,   85507,   83020,   77384,   76472,   75491,   82382,   78056,   76819,   85904,   52776,   74459,   81822,   81314,   45907,   73999,   80633,   75492,   83233,   82747,     616,   65286,   44054,   87169,   89374,   88825,   82996,   80493,   64847,   77569,   48572,   92399,   94161,     205,      16
X,   91741,   99018,   87367,   89508,   88209,   58157,   73429,   77272,   90033,   85333,   75466,   86624,   87899,   83870,   56853,   60247,   85104,   82017,   68370,   68073,   75019,   81461,   74386,   69661,   84848,   80551,   82114,   55649,   87006,   70161,   59704,   62876,   80777,   81268,   85963,   83115,   86906,   89792,   86594,   95969,   92213,   89635,   89783,   88463,   93296,   87446,     215,       3
Y,   87340,   83492,   81636,   82445,   80906,   66239,   77216,   72090,   82570,   76098,   72560,   58200,   41860,   65436,   76393,   82466,   79082,   39249,   54944,   72957,   59814,   80723,   74762,   76324,   80207,   62999,   78074,   52118,   69719,   57676,   73543,   83424,   77019,   86017,   83728,   84327,   77973,   67632,   83959,   86588,   82718,   83652,   79736,   74741,   82666,   84775,     349,      62
Z,   83922,   93434,   82302,   87378,   83603,   83393,   42896,   77729,   31663,   67859,   66580,   57368,   65854,   57756,   81785,    7931,   73740,   62329,   57143,   76633,   76141,   73395,   57275,   77883,   76415,   74721,   79672,   59980,   78408,   80811,   72415,   50074,   81320,   80209,   58252,   80100,   83312,   62323,   73652,   68145,   82462,   77424,   90959,   81816,   95453,   93352,     265,      50
a,   84063,   83059,   86040,   87168,   69429,   81043,   73316,   80627,   58320,   79428,   73481,   69387,   81597,   76002,   69156,   76373,   51843,   77071,   68907,   67112,   71023,   50615,   75864,   73404,   68635,   77009,   76677,   71725,   74548,   74201,   68390,   76345,   34339,   59637,   13796,   86277,   64088,   68687,   77469,   50649,   47557,   89673,   88700,   86878,   86835,   92369,     224,      35
b,   89531,   91908,   84369,   81328,   79004,   45970,   68997,   80010,   78115,   78231,   66441,   76584,   81883,   79266,   66801,   78377,   74196,   49769,   58150,   54280,   76456,   76305,   39383,   79074,   61215,   77016,   58990,   53255,   42875,   78389,   78885,   82410,   77531,   84683,   70815,   89723,   81447,   84424,   82496,   86721,   79938,   87100,    4667,   80965,   99353,   89578,     222,      31
c,   88481,   90947,   83409,   88248,   76102,   70595,   82273,   64692,   70180,   79213,   82131,   69424,   49726,   60383,   65617,   77289,   82839,   48557,   75335,   59194,   46133,   79999,   78179,   76005,   68756,   70875,   82350,   48896,   78196,   86925,   75133,   45230,   67428,   82326,   80094,   80031,   78817,   79312,   81609,   82715,   75433,   80995,   68167,   78655,   83610,   91567,     215,      58
d,   87328,   91582,   92252,   86777,   81703,   55473,   82007,   69669,   65026,   79539,   72881,   81080,   37995,   78857,   83555,   74988,   75286,   77368,   62384,   81703,   36788,   78080,   56326,   81427,   71990,   33499,   78224,   85192,   60934,   75842,   78505,   81254,   72541,   48788,   51218,   83305,   70991,   78679,   87706,   78929,   77611,   72589,   84448,   85157,   89164,   89814,     195,      13
e,   85443,   90423,   84077,   86487,   84068,   87705,   90087,   82253,   82262,   84809,   76145,   79623,   83248,   83882,   91164,   85052,   82938,   77850,   81960,   82427,   80371,   82929,   85784,   75631,   82928,   76914,   79980,   81633,   80445,   89631,   84834,   80429,   77114,   83697,   88772,   81329,   74759,   76978,   86276,   81265,   84223,   77895,   75940,   75311,   80942,   81953,     134,       6
f,   75000,   76684,   75830,   78028,   71443,   78048,   69527,   65640,   69865,   69841,   69581,   77377,   71107,   73673,   80686,   83678,   77092,   70055,   67347,   73712,   79993,   71559,   75195,   70828,   76500,   71571,   74560,   68057,   74524,   80660,   72608,   78093,   73998,   77530,   78619,   70196,   75032,   76972,   78228,   74952,   72317,   77388,   82756,   75408,   74831,   69967,     191,      41

